id,Phrase,Category,Points,Queries,Rank
35,Nexus 5,Electronics,6,"nexus 5 google, google nexus, nexus 4, lg nexus 5, lg nexus, galaxy nexus, galaxy nexus 5, android 5, nexus 7, nexus 5 price",5
36,HTC One,Electronics,5,"htc one,htc,s4, htc one x, galaxy s4, htc one mini, samsung s4, htc one price, htc one s, htc one review",6
37,iPad Air,Electronics,4,"apple air ipad, apple air, apple ipad, ipad air mini, ipad mini, ipad air case, ipad 2, ipad air price, review ipad air, macbook air",7
38,Blackberry 10,Electronics,3,"z10, blackberry 10 z10, blackberry z10, z 10 blackberry, z 10, blackberry 10 price, q10 blackberry, blackberry os 10, new blackberry, new blackberry 10",8
39,Samsung Galaxy Note 3,Electronics,2,"samsung note 2, galaxy note 2, note 2, samsung s4, samsung galaxy s4, galaxy s4, samsung galaxy tab, galaxy tab 3, samsung tab 3, galaxy note 10.1",9
40,Nokia Lumia 1020,Electronics,1,"1020,lumia, lumia 1020, nokia, nokia 1020, nokia lumia, nokia 1020 lumia, lumia 1020 price, nokia 1020 price, lumia 920",10
41,Man of Steel,Movies,10,"superman, henry cavill, iron man, iron man 3, superman movie, world war z, box office, superman 2013, rotten tomatoes, amy adams",1
42,Iron Man 3,Movies,9,"iron, iron man, iron 3, iron man 3, ironman, ironman 3, железный человек, железный человек 3, homem de ferro, iron man 2",2
43,World War Z,Movies,8,"war z, world war z, world war, world z, world, guerra z, guerra mundial, guerra mundial z, the war z, война z",3
44,Django Unchained,Movies,7,"django, django unchained, джанго, django online, django torrent, django movie, tarantino, django tarantino, джанго освобожденный, django trailer",4
45,Despicable Me 2,Movies,6,"me 2, despicable, despicable me, despicable 2, despicable me 2, mi villano favorito, гадкий я, гадкий я, meu malvado favorito, смотреть гадкий я",5
46,Gravity,Movies,5,"gravity, gravity movie, the gravity, gravity trailer, gravity 2013, гравитация, google gravity, gravity online, gravity review, the movie gravity",6
47,Chennai Express,Movies,4,"chennai, chennai express, chennai express songs, download chennai express, chennai express movie, download songs, chennai express song, chennai express collection, chennai express mp3, chennai express online",7
48,Les Misérables,Movies,3,"les misérables 2012, hugo les misérables, victor hugo, les misérables 2013, les misérables streaming, les misérables torrent, les misérables résumé, les misérables movie, youtube les misérables, les misérables livre",8
49,The Conjuring,Movies,2,"conjuring, the conjuring, conjuring movie, movie the conjuring, trailer conjuring, the conjuring online, заклятие, trailer the conjuring, the conjuring 2013, watch the conjuring",9
50,Argo,Movies,1,"argo, movie argo, argo online, argo trailer, argo 2012, argo torrent, アルゴ, argo oscar, арго, argo imdb",10
51,Cory Monteith,Artists,10,"cory, monteith, monteith cory, lea michele, glee, cory glee, cory dead, cory monteith dead, monteith glee, cory monteith glee",1
52,Amanda Bynes,Artists,9,"amanda, bynes, bynes amanda, amanda bynes twitter, amanda bynes 2013, amanda bynes drake, amanda bynes video, lindsay lohan, amanda seyfried, amanda bynes pics",2
53,James Gandolfini,Artists,8,"gandolfini, james, gandolfini james, gandolfini dead, james gandolfini dead, sopranos, gandolfini sopranos, sopranos james gandolfini, soprano, tony gandolfini",3
54,Charlie Hunnam,Artists,7,"dakota johnson, shades of grey, sons of anarchy, 50 shades, christian grey, pacific rim, matt bomer, jax, charlie hunnam girlfriend, charlie hunnam morgana",4
55,Robin Thicke,Artists,6,"thicke, robin, robin thicke, blurred lines, thicke blurred lines, robin thicke blurred, thicke video, robin thicke video, thicke lyrics, robin thicke lyrics",5
56,Lea Michele,Artists,5,"lea, lea michele, cory, cory lea, cory monteith, cory monteith lea, glee, lea glee, lea michele glee, cory and lea",6
57,Miley Cyrus,Artists,4,"miley cyrus 2013, wrecking ball, vma miley cyrus, miley cyrus video, miley cyrus vmas, youtube miley cyrus, miley cyrus lyrics, liam hemsworth, selena gomez, twerk ",7
